SKU,Title,UPC/EAN/ISBN/GTIN,Ebay Condition,Condition,Smart Type,Item Price,Package Length (inches),Package Height (inches),Package Width (inches),Package Weight (lbs),Tags,Bullet Point1,Bullet Point2,Bullet Point3,Bullet Point4,Bullet Point5,Description,The TV Chop Shop BigCommerce (BigCommerce) Custom Store Primary Category,The TV Chop Shop ebay (eBay) Custom Store Primary Category,Amazon_Item_Type,Amazon_Product_Type,Ebay_Category,Google_Category,Walmart_Product_Type,Walmart_Product_Type_V3,The TV Chop Shop BigCommerce (BigCommerce) Meta Description,The TV Chop Shop BigCommerce (BigCommerce) Meta Keywords,The TV Chop Shop BigCommerce (BigCommerce) Meta Title,Mpn,Brand,EasyList ASIN,Model Number
BN59-01194A,Samsung Wi-Fi Module BN59-01194A,682863747911,New other (see details),New,Television Replacement Parts,7.95,2,2,1,0.5,"Samsung BN59-01194A, Wi-Fi Module BN59-01194A, ,  Wi-Fi Module",Removed from a working Television with a broken screen,Genuine Samsung Wi-Fi Module BN59-01194A, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : Samsung</li><li>Part Type : Wi-Fi Module</li><li>Part Number : BN59-01194A</li><li>Board Number : </li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",152,,television-replacement-parts,713,163768,8516,30,35,Samsung Wi-Fi Module () BN59-01194A TheTVChopShop,"Samsung BN59-01194A, , Samsung Parts,  Parts, BN59-01194A Wi-Fi Module",Samsung Wi-Fi Module () BN59-01194A TheTVChopShop,BN59-01194A,Samsung,0,0
EBR83592701,LG Button Board EBR83592701,682863747928,New other (see details),New,Television Replacement Parts,6.95,2,2,1,0.5,"LG EBR83592701, Button Board EBR83592701, ,  Button Board",Removed from a working Television with a broken screen,Genuine LG Button Board EBR83592701, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : LG</li><li>Part Type : Button Board</li><li>Part Number : EBR83592701</li><li>Board Number : </li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,LG Button Board () EBR83592701 TheTVChopShop,"LG EBR83592701, , LG Parts,  Parts, EBR83592701 Button Board",LG Button Board () EBR83592701 TheTVChopShop,EBR83592701,LG,0,0
BN96-42259A,Samsung Button Board IR Sensor (BN41-02577A) BN96-42259A,682863747935,New other (see details),New,Television Replacement Parts,14.95,2,2,1,0.5,"Samsung BN96-42259A, Button Board BN96-42259A, BN41-02577A,  Button Board",Removed from a working Television with a broken screen,Genuine Samsung Button Board BN96-42259A, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : Samsung</li><li>Part Type : Button Board</li><li>Part Number : BN96-42259A</li><li>Board Number : BN41-02577A</li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,Samsung Button Board (BN41-02577A) BN96-42259A TheTVChopShop,"Samsung BN96-42259A, BN41-02577A, Samsung Parts,  Parts, BN96-42259A Button Board",Samsung Button Board (BN41-02577A) BN96-42259A TheTVChopShop,BN96-42259A,Samsung,0,0
BN96-42259B,Samsung Button Board IR Sensor (BN41-02577A) BN96-42259B,682863747942,New other (see details),New,Television Replacement Parts,14.95,2,2,1,0.5,"Samsung BN96-42259B, Button Board BN96-42259B, BN41-02577A,  Button Board",Removed from a working Television with a broken screen,Genuine Samsung Button Board BN96-42259B, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : Samsung</li><li>Part Type : Button Board</li><li>Part Number : BN96-42259B</li><li>Board Number : BN41-02577A</li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,Samsung Button Board (BN41-02577A) BN96-42259B TheTVChopShop,"Samsung BN96-42259B, BN41-02577A, Samsung Parts,  Parts, BN96-42259B Button Board",Samsung Button Board (BN41-02577A) BN96-42259B TheTVChopShop,BN96-42259B,Samsung,0,0
EBR81960204,LG Button Board EBR81960204,682863747959,New other (see details),New,Television Replacement Parts,5.95,2,2,1,0.5,"LG EBR81960204, Button Board EBR81960204, ,  Button Board",Removed from a working Television with a broken screen,Genuine LG Button Board EBR81960204, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : LG</li><li>Part Type : Button Board</li><li>Part Number : EBR81960204</li><li>Board Number : </li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,LG Button Board () EBR81960204 TheTVChopShop,"LG EBR81960204, , LG Parts,  Parts, EBR81960204 Button Board",LG Button Board () EBR81960204 TheTVChopShop,EBR81960204,LG,0,0
EBR83592301,LG Button Board EBR83592301,682863747966,New other (see details),New,Television Replacement Parts,7.95,2,2,1,0.5,"LG EBR83592301, Button Board EBR83592301, ,  Button Board",Removed from a working Television with a broken screen,Genuine LG Button Board EBR83592301, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : LG</li><li>Part Type : Button Board</li><li>Part Number : EBR83592301</li><li>Board Number : </li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,LG Button Board () EBR83592301 TheTVChopShop,"LG EBR83592301, , LG Parts,  Parts, EBR83592301 Button Board",LG Button Board () EBR83592301 TheTVChopShop,EBR83592301,LG,0,0
BN96-30857C,Samsung Button Board (A30857C) BN96-30857C,682863747973,New other (see details),New,Television Replacement Parts,9.95,2,2,1,0.5,"Samsung BN96-30857C, Button Board BN96-30857C, A30857C,  Button Board",Removed from a working Television with a broken screen,Genuine Samsung Button Board BN96-30857C, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : Samsung</li><li>Part Type : Button Board</li><li>Part Number : BN96-30857C</li><li>Board Number : A30857C</li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,Samsung Button Board (A30857C) BN96-30857C TheTVChopShop,"Samsung BN96-30857C, A30857C, Samsung Parts,  Parts, BN96-30857C Button Board",Samsung Button Board (A30857C) BN96-30857C TheTVChopShop,BN96-30857C,Samsung,0,0
BN96-36076B,Samsung Button Board (BN41-02398A) BN96-36076B,682863747980,New other (see details),New,Television Replacement Parts,4.95,2,2,1,0.5,"Samsung BN96-36076B, Button Board BN96-36076B, BN41-02398A,  Button Board",Removed from a working Television with a broken screen,Genuine Samsung Button Board BN96-36076B, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : Samsung</li><li>Part Type : Button Board</li><li>Part Number : BN96-36076B</li><li>Board Number : BN41-02398A</li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,Samsung Button Board (BN41-02398A) BN96-36076B TheTVChopShop,"Samsung BN96-36076B, BN41-02398A, Samsung Parts,  Parts, BN96-36076B Button Board",Samsung Button Board (BN41-02398A) BN96-36076B TheTVChopShop,BN96-36076B,Samsung,0,0
BN96-36076H,Samsung Button Board (BN41-02398A) BN96-36076H,682863747997,New other (see details),New,Television Replacement Parts,4.95,2,2,1,0.5,"Samsung BN96-36076H, Button Board BN96-36076H, BN41-02398A,  Button Board",Removed from a working Television with a broken screen,Genuine Samsung Button Board BN96-36076H, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : Samsung</li><li>Part Type : Button Board</li><li>Part Number : BN96-36076H</li><li>Board Number : BN41-02398A</li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,Samsung Button Board (BN41-02398A) BN96-36076H TheTVChopShop,"Samsung BN96-36076H, BN41-02398A, Samsung Parts,  Parts, BN96-36076H Button Board",Samsung Button Board (BN41-02398A) BN96-36076H TheTVChopShop,BN96-36076H,Samsung,0,0
BN96-36076E,Samsung Button Board (BN41-02398A) BN96-36076E,682863748000,New other (see details),New,Television Replacement Parts,4.95,2,2,1,0.5,"Samsung BN96-36076E, Button Board BN96-36076E, BN41-02398A,  Button Board",Removed from a working Television with a broken screen,Genuine Samsung Button Board BN96-36076E, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : Samsung</li><li>Part Type : Button Board</li><li>Part Number : BN96-36076E</li><li>Board Number : BN41-02398A</li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,Samsung Button Board (BN41-02398A) BN96-36076E TheTVChopShop,"Samsung BN96-36076E, BN41-02398A, Samsung Parts,  Parts, BN96-36076E Button Board",Samsung Button Board (BN41-02398A) BN96-36076E TheTVChopShop,BN96-36076E,Samsung,0,0
BN96-37286C,Samsung Button Board (BN41-02398A) BN96-37286C,682863748017,New other (see details),New,Television Replacement Parts,4.95,2,2,1,0.5,"Samsung BN96-37286C, Button Board BN96-37286C, BN41-02398A,  Button Board",Removed from a working Television with a broken screen,Genuine Samsung Button Board BN96-37286C, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : Samsung</li><li>Part Type : Button Board</li><li>Part Number : BN96-37286C</li><li>Board Number : BN41-02398A</li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,Samsung Button Board (BN41-02398A) BN96-37286C TheTVChopShop,"Samsung BN96-37286C, BN41-02398A, Samsung Parts,  Parts, BN96-37286C Button Board",Samsung Button Board (BN41-02398A) BN96-37286C TheTVChopShop,BN96-37286C,Samsung,0,0
39955A,Samsung Button Board 39955A,682863748024,New other (see details),New,Television Replacement Parts,4.95,2,2,1,0.5,"Samsung 39955A, Button Board 39955A, ,  Button Board",Removed from a working Television with a broken screen,Genuine Samsung Button Board 39955A, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : Samsung</li><li>Part Type : Button Board</li><li>Part Number : 39955A</li><li>Board Number : </li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,Samsung Button Board () 39955A TheTVChopShop,"Samsung 39955A, , Samsung Parts,  Parts, 39955A Button Board",Samsung Button Board () 39955A TheTVChopShop,39955A,Samsung,0,0
DLED3955CG,Proscan Button Board DLED3955CG,682863748031,New other (see details),New,Television Replacement Parts,13.95,2,2,1,0.5,"Proscan DLED3955CG, Button Board DLED3955CG, ,  Button Board",Removed from a working Television with a broken screen,Genuine Proscan Button Board DLED3955CG, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : Proscan</li><li>Part Type : Button Board</li><li>Part Number : DLED3955CG</li><li>Board Number : </li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,Proscan Button Board () DLED3955CG TheTVChopShop,"Proscan DLED3955CG, , Proscan Parts,  Parts, DLED3955CG Button Board",Proscan Button Board () DLED3955CG TheTVChopShop,DLED3955CG,Proscan,0,0
BN96-39802C,Samsung Button Board BN96-39802C,682863748048,New other (see details),New,Television Replacement Parts,6.95,2,2,1,0.5,"Samsung BN96-39802C, Button Board BN96-39802C, ,  Button Board",Removed from a working Television with a broken screen,Genuine Samsung Button Board BN96-39802C, ,,,"<h1><strong>Part Info:</strong></h1><ul><li>Brand : Samsung</li><li>Part Type : Button Board</li><li>Part Number : BN96-39802C</li><li>Board Number : </li><li>Panel Number : </li><li>TV Model 1 : </li><li>Important Notes : The part number is found on a sticker on the front of the board..  Tamper Proof Stickers have been added to parts, no refund/exchange/return will be accepted if sticker is missing/damaged.</li></ul>",5403,,television-replacement-parts,713,163768,8516,30,35,Samsung Button Board () BN96-39802C TheTVChopShop,"Samsung BN96-39802C, , Samsung Parts,  Parts, BN96-39802C Button Board",Samsung Button Board () BN96-39802C TheTVChopShop,BN96-39802C,Samsung,0,0
